,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
9175,Pontiac,1,Tuesday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
9180,Honda,1,Wednesday,Jan,0.25,1,Single,1,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,3 to 5,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
9203,Pontiac,1,Friday,Jan,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
9210,Pontiac,1,Friday,Feb,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9219,Honda,0,Tuesday,Jan,0.25,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,4 to 8 years,2 vehicles,Collision,True,Sport,Collision,0
9246,Chevrolet,1,Monday,Jan,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9262,Mazda,1,Monday,Jan,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
9268,Ford,1,Tuesday,Jan,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9269,Pontiac,1,Tuesday,Jan,0.75,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
9282,Toyota,1,Friday,Jan,0.5,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,3 to 5,1 year,2 vehicles,Collision,True,Sedan,Collision,0
9287,Chevrolet,1,Tuesday,Jan,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9292,Pontiac,1,Wednesday,Jan,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9299,Mazda,1,Wednesday,Feb,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9308,Mazda,1,Thursday,Jan,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9350,Pontiac,1,Tuesday,Jan,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9351,Chevrolet,1,Wednesday,Jan,0.5,1,Married,0,Utility - Collision,Utility,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,7 years,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Utility,Collision,0
9433,Toyota,1,Tuesday,Jan,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
9439,Honda,1,Friday,Jan,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,over 65,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9460,Chevrolet,0,Thursday,Mar,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
9483,Chevrolet,1,Tuesday,Jan,0.75,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
9509,Toyota,1,Monday,Jan,1.0,1,Married,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
9518,Toyota,1,Thursday,Feb,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
9562,Toyota,1,Wednesday,Jan,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9613,Pontiac,1,Friday,Feb,0.0,0,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9669,Honda,1,Monday,Jan,1.0,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
9690,Honda,1,Friday,Dec,0.5,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,1.0,0.0,0.0,more than 30,more than 30,none,4 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
9808,Toyota,1,Monday,Feb,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9813,Chevrolet,1,Thursday,Feb,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
9841,Honda,1,Wednesday,Feb,0.5,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,over 65,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
9849,Pontiac,0,Tuesday,Apr,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
9866,Mazda,1,Monday,Feb,0.0,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9872,Mazda,1,Monday,Feb,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
9873,Pontiac,1,Tuesday,Feb,0.5,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
9879,Honda,1,Thursday,Feb,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
9922,Mazda,1,Monday,Feb,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,3 to 4,All Perils,True,Sedan,All Perils,0
9928,Toyota,1,Thursday,Feb,0.25,0,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9945,Ford,1,Wednesday,Nov,0.25,1,Married,1,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.5,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,1 to 2,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
9946,Honda,1,Wednesday,Apr,0.0,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,more than 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
9985,Ford,1,Thursday,Feb,0.5,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,7 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
9996,Pontiac,1,Tuesday,Feb,0.5,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,0.3333333333333333,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,more than 5,2 to 3 years,2 vehicles,Collision,True,Sedan,Collision,0
10015,Toyota,1,Thursday,Feb,0.5,0,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10030,Toyota,1,Friday,Feb,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,over 65,1,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
10031,Toyota,1,Saturday,Feb,0.25,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,none,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10087,Honda,1,Friday,Mar,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
10088,Mazda,1,Wednesday,Mar,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,6 years,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10100,Mazda,0,Tuesday,Feb,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10116,Honda,1,Thursday,Feb,0.5,1,Single,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
10124,Pontiac,1,Thursday,Feb,0.5,1,Single,0,Utility - All Perils,Utility,40000 to 59000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
10149,Pontiac,1,Monday,Feb,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,0.0,more than 30,more than 30,2 to 4,7 years,over 65,0,0,0,more than 5,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
10153,Pontiac,1,Monday,Feb,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,1 to 2,no change,5 to 8,All Perils,True,Sedan,All Perils,0
10155,Pontiac,1,Monday,Feb,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10156,Honda,1,Friday,Feb,0.5,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
10183,Accura,1,Thursday,Feb,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10222,Honda,1,Sunday,Feb,0.5,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
10223,Pontiac,0,Tuesday,Feb,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10251,Pontiac,1,Thursday,Mar,1.0,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,0.0,more than 30,more than 30,more than 4,7 years,31 to 35,0,0,0,more than 5,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
10254,Pontiac,1,Thursday,Feb,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
10259,Toyota,1,Thursday,Feb,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10260,Pontiac,1,Thursday,Mar,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
10288,Honda,1,Monday,Mar,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10291,Mazda,1,Friday,Feb,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,more than 4,more than 7,over 65,0,0,0,more than 5,no change,3 to 4,All Perils,True,Sedan,All Perils,0
10335,Honda,1,Monday,Feb,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10339,Honda,1,Friday,Mar,0.0,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,1,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10343,Toyota,1,Monday,Feb,0.75,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10357,Mercury,0,Tuesday,Mar,0.25,1,Single,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
10384,Honda,1,Wednesday,Mar,0.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,5 years,21 to 25,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
10388,Mazda,1,Monday,Mar,0.0,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
10392,Mazda,0,Wednesday,Mar,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10412,Honda,1,Tuesday,Mar,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10414,Mazda,1,Wednesday,Mar,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,none,8 to 15,none,5 years,31 to 35,0,0,0,none,no change,3 to 4,Collision,True,Sedan,Collision,0
10439,Pontiac,0,Tuesday,Mar,0.25,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10441,Mazda,1,Friday,Mar,0.0,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
10442,Mazda,1,Wednesday,Mar,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
10446,Toyota,1,Wednesday,Mar,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,51 to 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10509,Honda,1,Wednesday,Mar,0.25,0,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
10520,Mazda,1,Monday,Mar,0.0,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sport,Collision,0
10529,Pontiac,1,Thursday,Mar,0.25,1,Married,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
10556,VW,1,Monday,Mar,0.5,0,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,1 year,1 vehicle,All Perils,True,Sedan,All Perils,0
10629,Toyota,1,Thursday,Mar,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
10642,Honda,1,Monday,Mar,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10667,Honda,1,Wednesday,Apr,0.0,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
10691,Honda,1,Monday,Jul,0.5,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10698,Pontiac,1,Tuesday,Mar,1.0,0,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,1,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
10702,Toyota,1,Monday,Mar,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10703,Accura,1,Monday,Mar,0.25,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10710,Pontiac,1,Friday,Jun,0.0,0,Single,1,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,2 to 3 years,2 vehicles,Collision,True,Sedan,Collision,0
10724,Accura,1,Thursday,Mar,1.0,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
10732,Pontiac,1,Monday,Mar,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,1,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
10748,Toyota,1,Tuesday,Mar,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10771,Mazda,1,Wednesday,Mar,0.5,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10837,Honda,1,Wednesday,Mar,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10845,Honda,1,Wednesday,Mar,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10850,Chevrolet,0,Monday,Mar,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,1.0,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10873,Accura,1,Tuesday,Mar,0.75,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
10876,Ford,0,Wednesday,Mar,0.75,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Utility,All Perils,0
10878,Honda,1,Wednesday,Mar,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
10889,Mazda,1,Tuesday,Apr,0.25,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
10895,Pontiac,1,Monday,Mar,0.75,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,more than 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
